NameID,PlaceID,NameType,LanguageCode,BaseText
28269,784thrrd-ccb158afed0f46f6b1e895403b2bae84,OFFICIAL,en,Main Shop
19383,784thrre-dfa545713eb540cb9079f6b589efc8d4,OFFICIAL,en,Pizza
15224,784thx2m-0f20ac6176b64dec89cf23111d660807,OFFICIAL,en,Magnit
29935,784thrpp-ab8f18a1e93842c5856c31d5f062fb1d,OFFICIAL,en,Uptown Bar
